State,CensusTract,Prog1,Prog2,Prog3,Prog4,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
GA,13015960702,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,6983000,"Allatoona Lake, GA",FLD_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13015960805,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,6983000,"Allatoona Lake, GA",,,
GA,13021013202,Commercial Motor Vehicle Operators Grant Program,,,,150900,CMVOST Program - Central Georgia Technical College,"UF_PFS, N_WKFC",Training & Workforce Development,
GA,13027960500,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,584000,"SR 76/SR 333 @ Cs 834/Crawford St & Csx #636942L In Quitman, Row","N-CLT, TD_ET",Climate Change  ,X
GA,13029980000,Grants For States And Tribes For Voluntary Restoration,,,,87168.1,The Georgia Sentinel Landscape Futures Initiative,"N_CLT, N_HLTH",Climate Change,
GA,13037950200,Clean School Bus Program,,,,790000,State Charter Schools Ii- Pataula Charter Academy,DS_ET,Clean Transportation,
GA,13039010202,"Noyes Cut, GA",,,,3850000,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),EAL_ET,"Climate Change, Clean Water & Waste Infrastructure",
GA,13049010101,Clean School Bus Program,,,,526666.67,Charlton County,DS_ET,Clean Transportation,
GA,13049010102,Clean School Bus Program,,,,526666.67,Charlton County,DS_ET,Clean Transportation,
GA,13049010200,Clean School Bus Program,,,,526666.67,Charlton County,DS_ET,Clean Transportation,
GA,13051000601,Brownfields Projects,,,,125000,"Brownfields Project - Savannah, City of","NPL_ET, TSDF_ET",Remediation & Reduction of Legacy Pollution,
GA,13051002300,Brownfields Projects,,,,125000,"Brownfields Project - Savannah, City of","NPL_ET, TSDF_ET",Remediation & Reduction of Legacy Pollution,
GA,13051003601,Brownfields Projects,,,,125000,"Brownfields Project - Savannah, City of","NPL_ET, TSDF_ET",Remediation & Reduction of Legacy Pollution,
