CensusTract,State,Prog1,Prog2,Prog3,Prog4+more,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
13015960702,GA,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,6983000,"Allatoona Lake, GA",FLD_ET,"Climate Change, Clean Water & Waste Infrastructure",
13015960805,GA,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,6983000,"Allatoona Lake, GA",,,
13021013202,GA,Commercial Motor Vehicle Operators Grant Program,,,,150900,CMVOST Program - Central Georgia Technical College,"UF_PFS, N_WKFC",Training & Workforce Development,
13027960500,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,584000,"SR 76/SR 333 @ Cs 834/Crawford St & Csx #636942L In Quitman, Row","N-CLT, TD_ET",Climate Change  ,X
13029980000,GA,Grants For States And Tribes For Voluntary Restoration,,,,87168.1,The Georgia Sentinel Landscape Futures Initiative,"N_CLT, N_HLTH",Climate Change,
13037950200,GA,Clean School Bus Program,Watershed and Flood Prevention Operations,,,7067500,"State Charter Schools Ii- Pataula Charter Academy, Claiborne Aquifer Watershed","DS_ET, FLD_ET, EAL_ET","Clean Transportation, Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",
13039010202,GA,"Noyes Cut, GA",,,,3850000,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),EAL_ET,"Climate Change, Clean Water & Waste Infrastructure",
13049010101,GA,Clean School Bus Program,,,,526666.67,Charlton County,DS_ET,Clean Transportation,
13049010102,GA,Clean School Bus Program,,,,526666.67,Charlton County,DS_ET,Clean Transportation,
13049010200,GA,Clean School Bus Program,,,,526666.67,Charlton County,DS_ET,Clean Transportation,
13051000601,GA,Brownfields Projects,Clean School Bus Program,,,299169,"Brownfields Project - Savannah, City of, Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools","NPL_ET, TSDF_ET, DS_ET, PM25_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation",
13051002300,GA,Brownfields Projects,Clean School Bus Program,,,299169,"Brownfields Project - Savannah, City of, Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools","NPL_ET, TSDF_ET, DS_ET, PM25_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation",
13051003601,GA,Brownfields Projects,Clean School Bus Program,,,299169,"Brownfields Project - Savannah, City of, Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools","NPL_ET, TSDF_ET, DS_ET, PM25_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation",
13051011700,GA,Brownfields Projects,Corps of Engineers Operation and Maintenance,Clean School Bus Program,,4449169,"Brownfields Project - Savannah, City of and Savannah Harbor, GA, Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools","NPL_ET, TSDF_ET, FLD_ET, DS_ET, PM25_ET","Remediation & Reduction of Legacy Pollution, Climate Change, Clean Water & Waste Infrastructure, Clean Transportation",
13051011800,GA,Major Rehabilitation for Rivers and Harbors,Clean School Bus Program,,,48174169,"Savannah Harbor Expansion, GA, Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools","N_PLN, PM25_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation",
13053020100,GA,Clean School Bus Program,,,,316000,Chattahoochee County,DS_ET,Clean Transportation,
13053020201,GA,Clean School Bus Program,Grants For States And Tribes For Voluntary Restoration,,,403168.1,"Chattahoochee County, The Georgia Sentinel Landscape Futures Initiative","DS_ET, N_CLT, N_HLTH","Clean Transportation, Climate Change",
13053020203,GA,Clean School Bus Program,,,,316000,Chattahoochee County,DS_ET,Clean Transportation,
13053020205,GA,Clean School Bus Program,Grants For States And Tribes For Voluntary Restoration,,,403168.1,"Chattahoochee County, The Georgia Sentinel Landscape Futures Initiative","DS_ET, N_CLT, N_HLTH","Clean Transportation, Climate Change",
